verbatim_name,canonical_name,resolved_taxon_id,accepted_canonical_name,source,confidence,gbif_match_type,notes
Anthidium utahense,anthidium utahense,271359,anthidium utahense,exact,1.0,,
"Anthidium utahense Swenk, 1914",anthidium utahense,271359,anthidium utahense,exact,1.0,,
Anthidium utanense,anthidium utanense,271359,anthidium utahense,gbif,0.96,VARIANT,
Anthophora bomboides,anthophora bomboides,198855,anthophora bomboides,exact,1.0,,
Anthophora albata,anthophora albata,853190,anthophora albata,exact,1.0,,
"Anthophora albata Cresson, 1876",anthophora albata,853190,anthophora albata,exact,1.0,,
Anthophora crotchii,anthophora crotchii,361434,anthophora crotchii,exact,1.0,,
"Anthophora curta Provancher, 1895",anthophora curta,308948,anthophora curta,exact,1.0,,
Anthophora pacifica,anthophora pacifica,361435,anthophora pacifica,exact,1.0,,
"Anthophora pacifica Cresson, 1879",anthophora pacifica,361435,anthophora pacifica,exact,1.0,,
"Anthophora porterae Cockerell, 1900",anthophora porterae,213791,anthophora porterae,exact,1.0,,
Anthophora terminalis,anthophora terminalis,198854,anthophora terminalis,exact,1.0,,
"Anthophora urbana Cresson, 1879",anthophora urbana,57681,anthophora urbana,exact,1.0,,
"Anthophora ursina Cresson, 1869",anthophora ursina,213792,anthophora ursina,exact,1.0,,
Apis mellifera,apis mellifera,47219,apis mellifera,exact,1.0,,
"Ashmeadiella aridula Cockerell, 1910",ashmeadiella aridula,214385,ashmeadiella aridula,exact,1.0,,
"Ashmeadiella cactorum (Cockerell, 1897)",ashmeadiella cactorum,214387,ashmeadiella cactorum,exact,1.0,,
"Ashmeadiella californica (Ashmead, 1897)",ashmeadiella californica,214388,ashmeadiella californica,exact,1.0,,
Ashmeadiella californica californica,ashmeadiella californica,214388,ashmeadiella californica,exact,1.0,,
"Ashmeadiella cubiceps (Cresson, 1879)",ashmeadiella cubiceps,308117,ashmeadiella cubiceps,exact,1.0,,
Ashmeadiella foxiella,ashmeadiella foxiella,1030937,ashmeadiella foxiella,exact,1.0,,
"Ashmeadiella meliloti (Cockerell, 1897)",ashmeadiella meliloti,271067,ashmeadiella meliloti,exact,1.0,,
Ashmeadiella timberlakei,ashmeadiella timberlakei,1030938,ashmeadiella timberlakei,exact,1.0,,
"Atoposmia elongata (Michener, 1936)",atoposmia elongata,1023978,atoposmia elongata,exact,1.0,,
Bombus appositus,bombus appositus,320050,bombus appositus,exact,1.0,,
"Bombus appositus Cresson, 1879",bombus appositus,320050,bombus appositus,exact,1.0,,
"Bombus californicus Smith, 1854",bombus californicus,124420,bombus californicus,exact,1.0,,
Bombus caliginosus,bombus caliginosus,344228,bombus caliginosus,exact,1.0,,
"Bombus centralis Cresson, 1864",bombus centralis,321463,bombus centralis,exact,1.0,,
Bombus fervidus,bombus fervidus,52774,bombus fervidus,exact,1.0,,
Bombus flavidus,bombus flavidus,541839,bombus flavidus,exact,1.0,,
"Bombus flavidus Eversmann, 1852",bombus flavidus,541839,bombus flavidus,exact,1.0,,
"Bombus frigidus Smith, 1854",bombus frigidus,433293,bombus frigidus,exact,1.0,,
Bombus griseocollis,bombus griseocollis,120215,bombus griseocollis,exact,1.0,,
Bombus huntii,bombus huntii,154043,bombus huntii,exact,1.0,,
Bombus impatiens,bombus impatiens,118970,bombus impatiens,exact,1.0,,
"Bombus kirbiellus Curtis, 1835",bombus kirbiellus,704572,bombus kirbiellus,exact,1.0,,
Bombus melanopygus,bombus melanopygus,130222,bombus melanopygus,exact,1.0,,
"Bombus melanopygus Nylander, 1848",bombus melanopygus,130222,bombus melanopygus,exact,1.0,,
bombus mixtus,bombus mixtus,319125,bombus mixtus,exact,1.0,,
"Bombus morrisoni Cresson, 1879",bombus morrisoni,324278,bombus morrisoni,exact,1.0,,
"Bombus nevadensis Cresson, 1874",bombus nevadensis,341001,bombus nevadensis,exact,1.0,,
"Bombus occidentalis Greene, 1858",bombus occidentalis,82371,bombus occidentalis,exact,1.0,,
Bombus occidentalis occidentalis,bombus occidentalis,82371,bombus occidentalis,exact,1.0,,
"Bombus sitkensis Nylander, 1848",bombus sitkensis,142269,bombus sitkensis,exact,1.0,,
Bombus suckleyi,bombus suckleyi,452445,bombus suckleyi,exact,1.0,,
Bombus sylvicola,bombus sylvicola,450489,bombus sylvicola,exact,1.0,,
"Bombus sylvicola Kirby, 1837",bombus sylvicola,450489,bombus sylvicola,exact,1.0,,
Bombus vagans,bombus vagans,128670,bombus vagans,exact,1.0,,
Bombus vancouverensis,bombus vancouverensis,1020304,bombus vancouverensis,exact,1.0,,
"Bombus vancouverensis nearcticus Handlirsch, 1888",bombus vancouverensis,1020304,bombus vancouverensis,exact,1.0,,
"Bombus vandykei (Frison, 1927)",bombus vandykei,125138,bombus vandykei,exact,1.0,,
"Brachymelecta californica (Cresson, 1878)",brachymelecta californica,1255700,brachymelecta californica,exact,1.0,,
"Calliopsis personata Cockerell, 1897",calliopsis personata,215759,calliopsis personata,exact,1.0,,
"Calliopsis personatus Cockerell, 1897",calliopsis personatus,215759,calliopsis personata,gbif,0.98,VARIANT,
Calliopsis scutellaris,calliopsis scutellaris,309004,calliopsis scutellaris,exact,1.0,,
"Ceratina acantha Provancher, 1895",ceratina acantha,309461,ceratina acantha,exact,1.0,,
Ceratina pacifica,ceratina pacifica,361440,ceratina pacifica,exact,1.0,,
"Ceratina pacifica H.S.Smith, 1907",ceratina pacifica,361440,ceratina pacifica,exact,1.0,,
Ceratina sequoiae,ceratina sequoiae,361442,ceratina sequoiae,exact,1.0,,
Chelostoma minutum,chelostoma minutum,459048,chelostoma minutum,exact,1.0,,
"Chelostoma minutum Crawford, 1916",chelostoma minutum,459048,chelostoma minutum,exact,1.0,,
"Coelioxys grindeliae Cockerell, 1900",coelioxys grindeliae,626629,coelioxys grindeliae,exact,1.0,,
Coelioxys sodalis,coelioxys sodalis,626758,coelioxys sodalis,exact,1.0,,
"Coelioxys sodalis Cresson, 1878",coelioxys sodalis,626758,coelioxys sodalis,exact,1.0,,
Colletes consors pascoensis,colletes consors,199044,colletes consors,exact,1.0,,
"Colletes gypsicolens Cockerell, 1897",colletes gypsicolens,459061,colletes gypsicolens,exact,1.0,,
Colletes hyalinus oregonensis,colletes hyalinus,217441,colletes hyalinus,exact,1.0,,
"Colletes hyalinus oregonensis Timberlake, 1951",colletes hyalinus,217441,colletes hyalinus,exact,1.0,,
"Colletes inaequalis Say, 1837",colletes inaequalis,199041,colletes inaequalis,exact,1.0,,
Colletes kincaidii,colletes kincaidii,199040,colletes kincaidii,exact,1.0,,
"Colletes kincaidii Cockerell, 1898",colletes kincaidii,199040,colletes kincaidii,exact,1.0,,
Colletes lutzi interior,colletes lutzi,847834,colletes lutzi,exact,1.0,,
"Colletes lutzi interior Timberlake, 1951",colletes lutzi,847834,colletes lutzi,exact,1.0,,
"Colletes nigrifrons Titus, 1900",colletes nigrifrons,217444,colletes nigrifrons,exact,1.0,,
Colletes paniscus sculleni,colletes paniscus,217446,colletes paniscus,exact,1.0,,
"Colletes paniscus sculleni Timberlake, 1951",colletes paniscus,217446,colletes paniscus,exact,1.0,,
"Colletes paniscus Viereck, 1903",colletes paniscus,217446,colletes paniscus,exact,1.0,,
Colletes simulans nevadensis,colletes simulans,179699,colletes simulans,exact,1.0,,
Colletes sleveni,colletes sleveni,179704,colletes slevini,gbif,0.96,VARIANT,
"Diadasia enavata (Cresson, 1872)",diadasia enavata,135310,diadasia enavata,exact,1.0,,
Diadasia nigrifrons,diadasia nigrifrons,888396,diadasia nigrifrons,exact,1.0,,
