"canonical_name","host_plant_family","host_plant_detail","host_states","fowler_status"
"chelostoma phaceliae","","Phacelia Juss.","CA-ID-NV-OR-UT-WA","Uncommon-Rare"
"chelostoma philadelphi","","Philadelphus L.","AL-CT-GA-MA-MD-ME-MS-NC-NJ-NY-SC-VA-WV","Uncommon-Rare"
"colletes aberrans","","Dalea L.","AZ-CO-NM","Rare"
"colletes albescens","","Amorpha L. , Dalea L.","CO-NM-UT","Rare"
"colletes algarobiae","","Prosopis L.","AZ-CA-NM-NV-UT","Uncommon-Rare"
"colletes andrewsi","","Heuchera L.","CO","Rare"
"colletes annae","Asteraceae","Asteraceae : Baccharis L. , Bebbia (Benth.) Greene , Chrysothamnus Nutt. , Haplopappus Cass. , Solidago L.","AZ-CA-NM-UT","Rare"
"colletes birkmanni","Asteraceae","Asteraceae : Baccharis L. , Gutierrezia Lag. , Helianthus L. , Heliopsis Pers. , Hymenopappus L'Hér.","AZ-CA-CO-NM","Rare"
"colletes brevicornis","","Campanula L. , Triodanis Raf. ex Greene","CO-MT-WY","Uncommon"
"colletes californicus","","Phacelia Juss.","CA","Rare"
"colletes ciliatoides","","Cuscuta L.","ID, UT","Rare"
"colletes ciliatus","","Cuscuta L.","CO","Rare"
"colletes clypeonitens","","Larrea Cav.","AZ-CA-NM-NV-UT","Uncommon"
"colletes compactus","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Solidago L.","AZ-CA-CO-ID-NM-NV-OR-UT-WA","Uncommon"
"colletes consors","Boraginaceae","Boraginaceae ; Hydrophyllaceae","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"colletes covilleae","","Larrea Cav.","AZ-CA-NM-NV-UT","Rare"
"colletes fulgidus","Asteraceae","Asteraceae : Achillea L. , Chrysothamnus Nutt. , Cirsium Mill. , Ericameria Nutt. , Erigeron L. , Grindelia Willd. , Gutierrezia Lag. , Haplopappus Cass. , Holocarpha Greene , Layia Hook. & Arn. ex DC. , Rudbeckia L. , Solidago L.","CA-CO-ID-MT-NV-OR-UT-WA-WY","Uncommon"
"colletes gypsicolens","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Grindelia Willd. , Gutierrezia Lag. , Helianthus L. , Verbesina L.","AZ-CA-CO-ID-NM-NV-OR-UT-WA","Uncommon-Rare"
"colletes larreae","","Larrea Cav.","AZ-CA-NV-UT","Uncommon-Rare"
"colletes laticinctus","Asteraceae","Asteraceae : Gutierrezia Lag.","AZ-CO-ID-NM-UT-WY","Rare"
"colletes latitarsis","","Physalis L.","AZ-CO-MT-NM-WY","Rare"
"colletes nigrifrons","","Potentilla L.","AZ-CA-CO-ID-MT-NM-NV-UT-WA-WY","Uncommon-Rare"
"colletes paniscus","","Mertensia Roth","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"colletes petalostemonis","Fabaceae","Fabaceae : Dalea L. , Psorothamnus Rydb.","AZ-CA-CO-ID-MT-NM-NV-UT-WY","Uncommon-Rare"
"colletes productus","Ericaceae","Ericaceae : Arctostaphylos Adans. , Comarostaphylis Zucc. , Ornithostaphylos Small , Phyllodoce Salisb. , Xylococcus Nutt. ?","CA","Rare"
"colletes prosopidis","","Prosopis L.","AZ-CA-NM-NV","Uncommon-Rare"
"colletes robertsonii","","Dalea L.","AZ-CO-NM-WY","Rare"
"colletes rufocinctus","Asteraceae","Asteraceae : Grindelia Willd. , Gutierrezia Lag. , Helianthus L. , Ratibida Raf. , Solidago L. , Symphyotrichum Nees","AZ-CA-CO-NM-WY","Rare"
"colletes scopiventer","","Chamaesaracha (A. Gray) Benth.","AZ-CA-CO-NM-NV","Rare"
"colletes simulans","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Solidago L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common"
"colletes sphaeralceae","","Sphaeralcea A. St.-Hil.","AZ-CA-CO-ID-NM-NV-OR-UT-WA","Uncommon-Rare"
"colletes stepheni","Fabaceae","Fabaceae : Parkinsonia L. , Psorothamnus Rydb.","AZ-CA-NV","Uncommon-Rare"
"colletes susannae","","Amorpha L. , Dalea L.","CO","Rare"
"colletes thysanellae","Asteraceae","Asteraceae : Baccharis L. , Balduina Nutt. , Heterotheca Cass. , Solidago L.","AZ","Rare"
"colletes timberlakei","","Dalea L.","CO-WY","Rare"
"colletes turgiventris","","Phacelia Juss.","CA","Rare"
"colletes willistoni","","Physalis L.","CO-UT-WY","Rare"
"colletes wilmattae","","Dalea L.","NM","Rare"
"colletes xerophilus","","Salix L.","AZ-CA-CO-ID-NM-NV-UT","Rare"
"conanthalictus bakeri","","Phacelia Juss.","AZ-CA-NM-NV","Uncommon-Rare"
"conanthalictus caerulescens","","Phacelia Juss.","AZ-CA-NV","Rare"
