"canonical_name","host_plant_family","host_plant_detail","host_states","fowler_status"
"melitta californica","","Sphaeralcea A. St.-Hil.","AZ-CA-NM","Rare"
"micralictoides ruficaudus","","Eschscholzia Cham.","CA","Rare"
"nomia universitatis","Fabaceae","Fabaceae : Astragalus L. , Ladeania A. N. Egan & Reveal. , Pediomelum Rydb.","CO-NM","Rare"
"osmia calcarata","","Penstemon Schmidel","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"osmia californica","Asteraceae","Asteraceae : Balsamorhiza Nutt. , Chaenactis DC. , Cirsium Mill. , Ericameria Nutt. , Heliomeris Nutt. , Heterotheca Cass. , Layia Hook. & Arn. ex DC. , Senecio L. , Wyethia Nutt.","CA-CO-ID-MT-NV-OR-UT-WA-WY","Common-Uncommon"
"osmia chalybea","","Cirsium Mill.","UT","Rare"
"osmia coloradensis","Asteraceae","Asteraceae : Chaenactis DC. , Cirsium Mill. , Coreopsis L. , Encelia Adans. , Erigeron L. , Senecio L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common-Uncommon"
"osmia cyaneonitens","","Penstemon Schmidel","CO-MT-NV-UT","Rare"
"osmia dakotensis","Fabaceae","Fabaceae : Astragalus L. , Hedysarum L.","CA-CO-ID-MT-NM-UT-WY","Rare"
"osmia grinnelli","Asteraceae","Asteraceae : Chaenactis DC. , Coreopsis L. , Encelia Adans. , Ericameria Nutt. , Hulsea Torr. & A. Gray","CA-CO-ID-NV-OR-UT","Uncommon-Rare"
"osmia integra","Fabaceae","Fabaceae : Astragalus L. , Lotus L. , Lupinus L. , Thermopsis R. Br.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"osmia latisulcata","Fabaceae","Fabaceae : Astragalus L. , Lotus L. , Lupinus L.","AZ-CA-CO-NM-NV-UT","Uncommon-Rare"
"osmia liogastra","Fabaceae","Fabaceae : Astragalus L. , Lotus L. , Lupinus L.","AZ-CA-NM-NV-UT","Uncommon-Rare"
"osmia longula","Fabaceae","Fabaceae : Astragalus L. , Hedysarum L. , Lupinus L.","CA-CO-ID-MT-NV-OR-UT-WA-WY","Uncommon-Rare"
"osmia lupinicola","Fabaceae","Fabaceae : Lotus L.","CA","Rare"
"osmia marginipennis","Asteraceae","Asteraceae : Balsamorhiza Nutt. , Chaenactis DC. , Layia Hook. & Arn. ex DC.","CA-CO-ID-MT-NV-OR-UT-WA-WY","Rare"
"osmia montana","Asteraceae","Asteraceae : Agoseris Raf. , Chaenactis DC. , Cirsium Mill. , Encelia Adans. , Ericameria Nutt. , Erigeron L. , Eriophyllum Lag. , Grindelia Willd. , Helianthella Torr. & A. Gray , Hulsea Torr. & A. Gray , Layia Hook. & Arn. ex DC. , Senecio L. , Wyethia Nutt.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common-Uncommon"
"osmia nifoata","Fabaceae","Fabaceae : Astragalus L. , Hedysarum L. , Lotus L. , Lupinus L. , Trifolium L.","CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"osmia nigrifrons","Fabaceae","Fabaceae : Astragalus L. , Lupinus L. , Trifolium L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"osmia nigrobarbata","Fabaceae","Fabaceae : Astragalus L. , Lotus L. , Lupinus L.","AZ-CA-CO-ID-NM-NV-OR-UT-WA","Uncommon-Rare"
"osmia obliqua","Fabaceae","Fabaceae : Astragalus L. , Lotus L. , Trifolium L.","AZ-CA-ID-NV-OR-UT","Rare"
"osmia physariae","Fabaceae","Fabaceae : Astragalus L. , Lotus L. , Trifolium L.","CA-CO-ID-NV-OR-UT-WA-WY","Uncommon-Rare"
"osmia regulina","Fabaceae","Fabaceae : Astragalus L. , Trifolium L.","CA-NV-OR-WA","Uncommon-Rare"
"osmia ribifloris","Ericaceae","Ericaceae : Arctostaphylos Adans.","AZ-CA-CO-ID-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"osmia sanctaerosae","Fabaceae","Fabaceae : Lotus L. , Lupinus L.","CA-ID-UT","Rare"
"osmia subaustralis","Asteraceae","Asteraceae : Chaenactis DC. , Cirsium Mill. , Encelia Adans. , Erigeron L. , Grindelia Willd. , Helianthus L. , Heliomeris Nutt. , Senecio L. , Wyethia Nutt.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"osmia texana","","Cirsium Mill.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"osmia titusi","Fabaceae","Fabaceae : Astragalus L. , Dalea L. , Lotus L. , Lupinus L.","AZ-CA-NM-NV-UT","Uncommon-Rare"
"osmia trifoliama","Fabaceae","Fabaceae : Trifolium L.","CA-ID-OR-WA","Rare"
"panurginus cressoniellus","","Potentilla L.","AZ-CO-NM-NV-UT-WY","Uncommon-Rare"
"panurginus ineptus","","Fragaria L. , Potentilla L.","CO-ID-NV-OR-UT-WA-WY","Uncommon-Rare"
"panurginus melanocephalus","","Ranunculus L.","CA","Rare"
"panurginus nigrihirtus","","Ranunculus L.","CA-CO","Rare"
"panurginus occidentalis","","Limnanthes R. Br.","CA","Rare"
"panurginus potentillae","","Fragaria L. , Potentilla L.","CO","Rare"
"paranthidium jugatorium","Asteraceae","Asteraceae : Erigeron L. , Grindelia Willd. , Haplopappus Cass. , Helianthus L. , Heterotheca Cass. , Rudbeckia L. , Silphium L. , Verbesina L. , Viguiera Kunth","AZ-CA-CO-NM-UT","Uncommon-Rare"
"peponapis michelbacherorum","","Cucurbita L. , Ipomoea L.","AZ","Rare"
"peponapis pruinosa","","Cucurbita L.","AZ-CA-CO-ID-NM-NV-OR-UT","Common"
"peponapis timberlakei","","Cucurbita L.","AZ-CA-NM","Rare"
"peponapis utahensis","","Cucurbita L.","AZ-NM","Rare"
"perdita abdominalis","Asteraceae","Asteraceae : Pectis L.","AZ-CA-NV","Uncommon-Rare"
"perdita adjuncta","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt.","AZ-CA-NV-OR-UT","Rare"
"perdita adustiventris","","Mentzelia L.","CA","Rare"
"perdita aemula","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. ; Eriogonum Michx.","CA-OR-UT-WY","Rare"
"perdita affinis","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Grindelia Willd. , Senecio L. , Xanthisma DC.","AZ-CO-NM-UT-WY","Uncommon"
"perdita albihirta","Asteraceae","Asteraceae : Acamptopappus (A. Gray) A. Gray , Baileya Harv. & A. Gray ex A. Gray , Chaenactis DC. , Encelia Adans. , Geraea Torr. & A. Gray","AZ-CA-NM-NV","Uncommon-Rare"
"perdita albipennis","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Grindelia Willd. , Helianthus L. , Heterotheca Cass. , Rudbeckia L. , Symphyotrichum Nees , Verbesina L.","AZ-CO-ID-MT-NM-NV-UT-WA-WY","Common-Uncommon"
"perdita albonotata","Asteraceae","Asteraceae : Stephanomeria Nutt.","AZ-CA-ID-NM-NV-UT","Common-Uncommon"
"perdita albovittata","Asteraceae","Asteraceae : Bahia Lag. , Baileya Harv. & A. Gray ex A. Gray , Gutierrezia Lag. , Heterotheca Cass. , Hymenothrix A. Gray , Isocoma Nutt. , Machaeranthera Nees , Pectis L. , Psilostrophe DC. , Verbesina L. , Xanthisma DC.","AZ-CA-NM-NV","Common-Uncommon"
"perdita ampla","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt.","NM","Rare"
"perdita apacheorum","Asteraceae","Asteraceae : Grindelia Willd. , Gutierrezia Lag. , Heterotheca Cass.","AZ-CA-NM-NV-WY","Rare"
"perdita aperta","","Gutierrezia Lag.","AZ-NM","Rare"
"perdita aplopappi","Asteraceae","Asteraceae : Gutierrezia Lag. , Xanthisma DC.","AZ-UT","Rare"
"perdita arenaria","","Tiquilia Pers.","AZ-CA-NV","Rare"
"perdita argemones","","Argemone L.","AZ-UT","Rare"
"perdita aridella","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Grindelia Willd. , Gutierrezia Lag. , Helianthus L.","AZ-CO-NM-NV-UT","Common-Uncommon"
"perdita ashmeadi","","Prosopis L.","AZ-CA-NM","Uncommon"
"perdita asteris","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Heterotheca Cass. , Machaeranthera Nees","AZ-CO-NM-NV-UT","Uncommon-Rare"
"perdita atrata","","Mentzelia L.","CA","Rare"
"perdita aureovittata","Asteraceae","Asteraceae : Agoseris Raf. , Layia Hook. & Arn. ex DC. , Malacothrix DC.","CA","Rare"
"perdita austini","Asteraceae","Asteraceae : Gutierrezia Lag.","AZ-NM","Rare"
"perdita baccharidis","","Baccharis L.","AZ-CA","Rare"
"perdita beata","Asteraceae","Asteraceae : Bahia Lag. , Encelia Adans. , Gutierrezia Lag. , Verbesina L.","NM","Rare"
"perdita beatula","","Sphaeralcea A. St.-Hil.","AZ-CA-NV-UT","Uncommon-Rare"
"perdita bebbiae","","Bebbia (Benth.) Greene","CA","Rare"
"perdita bellula","","Tiquilia Pers.","AZ-CA-NV","Uncommon-Rare"
"perdita bequaerti","Asteraceae","Asteraceae : Bidens L. , Balduina Nutt. , Helianthus L. [ Physalis L. ?]","CA-NM","Rare"
"perdita bequaertiana","","Oenothera L.","AZ-CO-NM-UT","Rare"
"perdita bicuspidariae","","Mentzelia L.","CA","Rare"
"perdita biguttata","","Euphorbia L.","AZ","Rare"
"perdita bilobata","","Calochortus Pursh","AZ-CA","Rare"
"perdita binotata","","Physalis L.","AZ-CA","Rare"
"perdita bishoppi","","Heterotheca Cass.","AZ-CO-NM-UT","Rare"
"perdita bispinata","","Calochortus Pursh","CA-WY","Rare"
"perdita brevihirta","Asteraceae","Asteraceae : Ericameria Nutt. , Gutierrezia Lag. , Pectis L. , Stephanomeria Nutt.","AZ-NM-WY","Rare"
"perdita bridwelli","","Sphaeralcea A. St.-Hil.","AZ-CA","Rare"
"perdita bruneri","Asteraceae","Asteraceae : Grindelia Willd. , Helianthus L. , Heterotheca Cass. , Solidago L. , Symphyotrichum Nees","CO-MT-NM-UT-WY","Uncommon-Rare"
"perdita butleri","","Pectis L.","AZ-NV","Rare"
"perdita californica","","Calochortus Pursh","CA","Rare"
"perdita callicerata","Asteraceae","Asteraceae : Bahia Lag. , Baileya Harv. & A. Gray ex A. Gray , Gutierrezia Lag. , Heterotheca Cass. , Malacothrix DC. , Verbesina L.","AZ-CA-NM-NV-UT","Common-Uncommon"
"perdita calochorti","","Calochortus Pursh","CA","Rare"
"perdita cambarella","Asteraceae","Asteraceae : Croptilon Raf. , Heterotheca Cass.","NM","Rare"
"perdita celadona","","Camissonia Link , Oenothera L.","NV","Rare"
"perdita cephalotes","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Gutierrezia Lag.","AZ-CA-NV-UT","Rare"
"perdita chamaesarachae","","Chamaesaracha (A. Gray) Benth.","AZ-NM","Rare"
"perdita chloris","","Psorothamnus Rydb.","AZ-CA-NV-UT","Uncommon-Rare"
"perdita chrysophila","Asteraceae","Asteraceae : Thelesperma Less. , Verbesina L.","AZ-NM","Rare"
"perdita chrysothamni","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt.","CA","Rare"
"perdita ciliata","Asteraceae","Asteraceae : Ericameria Nutt. , Euthamia Nutt. ex Cass. , Heterotheca Cass. , Senecio L. , Solidago L.","CA-ID-OR","Rare"
"perdita cladothricis","","Tidestromia Standl.","AZ-NM-NV","Common-Uncommon"
"perdita claypolei","","Eriogonum Michx.","CA-ID-OR-NV","Uncommon"
"perdita clypeata","","Eriogonum Michx.","AZ-CA-NV","Uncommon-Rare"
"perdita coalingensis","","Eschscholzia Cham.","CA","Rare"
"perdita coldeniae","","Tiquilia Pers.","AZ-CA-NV","Rare"
"perdita colei","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Gutierrezia Lag. , Lepidospartum (A. Gray) A. Gray , Solidago L.","CA","Rare"
"perdita compta","","Eriastrum Wooton & Standl.","CA-NV","Uncommon-Rare"
"perdita confusa","","Lepidium L.","AZ-NM-UT","Uncommon-Rare"
"perdita coreopsidis","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Gaillardia Foug. , Heterotheca Cass.","AZ-CO-NM-UT","Uncommon-Rare"
"perdita covilleae","","Larrea Cav.","AZ-CA-NM-NV-UT","Common-Uncommon"
"perdita crandalli","","Petalonyx A. Gray","AZ","Rare"
"perdita crassula","","Euphorbia L.","AZ-NM","Rare"
"perdita croceipes","Asteraceae","Asteraceae : Gutierrezia Lag. , Isocoma Nutt. , Verbesina L.","AZ-NM-UT","Rare"
"perdita crotonis","","Croton L.","AZ-CA-CO-NM-NV-WY","Uncommon-Rare"
"perdita cruciferarum","Brassicaceae","Brassicaceae : Descurainia Webb & Bethel. , Lepidium L. , Lesquerella S. Watson , Physaria (Nutt. ex Torr. & A. Gray) A. Gray","NV","Rare"
"perdita cuspidata","","Nama L.","CA-NV","Rare"
"perdita dalyi","","Helianthus L.","NM","Rare"
"perdita dammersi","Asteraceae","Asteraceae : Chaenactis DC. , Malacothrix DC.","CA-NV","Rare"
"perdita dentata","","Phacelia Juss.","CA","Rare"
"perdita depressa","","Cleome L.","AZ-UT","Rare"
"perdita desdemona","","Tiquilia Pers.","CA","Rare"
"perdita dicksoni","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt.","CA-NV","Rare"
"perdita difficilis","","Prosopis L.","AZ-CA-NM-NV","Uncommon"
"perdita distans","","Eriogonum Michx.","CA","Rare"
"perdita distropica","","Calochortus Pursh","CA","Uncommon-Rare"
"perdita diversa","","Tiquilia Pers.","AZ-NM","Uncommon-Rare"
"perdita dolichocephala","Asteraceae","Asteraceae : Helianthus L.","CO-NM-UT","Uncommon-Rare"
"perdita drymariae","","Tidestromia Standl.","NM","Rare"
"perdita dubia","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Gutierrezia Lag.","AZ-CA-CO-ID-NV-WY","Uncommon-Rare"
"perdita electa","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. ; Eriogonum Michx.","UT-WY","Uncommon-Rare"
"perdita elegans","","Palafoxia Lag.","AZ-CA-NV-UT","Rare"
"perdita eremica","Fabaceae","Fabaceae : Dalea L. , Psorothamnus Rydb.","AZ-CA-NV-UT","Uncommon-Rare"
"perdita eremophila","","Phacelia Juss.","CA","Rare"
"perdita eriastri","","Eriastrum Wooton & Standl.","CA-NV","Rare"
"perdita ericameriae","Asteraceae","Asteraceae : Ericameria Nutt. , Gutierrezia Lag.","CA","Rare"
"perdita erythropyga","Fabaceae","Fabaceae : Dalea L. , Psorothamnus Rydb.","CA","Rare"
"perdita euphorbiae","","Euphorbia L.","AZ-CA-NV","Rare"
"perdita exclamans","Fabaceae","Fabaceae : Prosopis L. , Vachellia Wight & Arn.","AZ-CA-NM-NV-OR-UT","Uncommon-Rare"
"perdita exilis","","Petalonyx A. Gray","CA","Uncommon-Rare"
"perdita exusta","","Tiquilia Pers.","NV","Rare"
"perdita fallax","Asteraceae","Asteraceae : Bahia Lag. , Chrysothamnus Nutt. , Erigeron L. , Gaillardia Foug. , Grindelia Willd. , Gutierrezia Lag. , Haplopappus Cass. , Helianthus L. , Heterotheca Cass. , Solidago L.","AZ-CO-ID-MT-NM-UT-WY","Uncommon-Rare"
"perdita festiva","Asteraceae","Asteraceae : Ericameria Nutt. , Oxytenia Nutt.","UT","Uncommon"
"perdita fieldi","","Adenostoma Hook. & Arn. , Eriogonum Michx.","CA","Rare"
"perdita flavifrons","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Gutierrezia Lag.","CA-NM-UT-WY","Rare"
"perdita florissantella","","Lepidium L.","CO-NM","Rare"
"perdita foleyi","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt.","CA-NV","Rare"
"perdita foveata","Asteraceae","Asteraceae : Aphanostephus DC. , Coreopsis L. , Machaeranthera Nees","NM","Rare"
"perdita frontalis","","Tiquilia Pers.","CA","Rare"
"perdita genalis","Fabaceae","Fabaceae : Parkinsonia L. , Prosopis L.","AZ-CA-NV-UT","Uncommon-Rare"
"perdita gentilis","","Eriogonum Michx.","AZ-CA-NV","Rare"
"perdita giliae","","Gilia Ruiz & Pav.","AZ","Rare"
"perdita gutierreziae","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Ericameria Nutt. , Grindelia Willd. , Gutierrezia Lag. , Isocoma Nutt. , Machaeranthera Nees , Sartwellia A. Gray , Solidago L.","AZ-CA-CO-NM-NV-UT","Uncommon-Rare"
"perdita halictoides","","Physalis L.","CA-CO-UT-WY","Rare"
"perdita heliophila","Asteraceae","Asteraceae : Helianthus L.","CO-NM-UT","Rare"
"perdita heliotropii","","Heliotropium L.","AZ-CA-NM-NV-UT","Uncommon-Rare"
"perdita heterothecae","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Chloracantha G.L. Nesom , Gutierrezia Lag. , Heterotheca Cass. , Machaeranthera Nees","AZ-CA-NV-UT","Uncommon-Rare"
"perdita hippolyta","","Tiquilia Pers.","NM","Rare"
"perdita hirsuta","Fabaceae","Fabaceae : Dalea L. , Psorothamnus Rydb.","AZ-NM-UT","Uncommon-Rare"
"perdita hirticeps","Asteraceae","Asteraceae : Stephanomeria Nutt.","AZ-CA-ID-NV-UT","Uncommon-Rare"
"perdita holoxantha","","Mentzelia L.","AZ-NM-NV-UT","Uncommon-Rare"
"perdita hurdi","Pedaliaceae","Pedaliaceae : Martynia L. , Proboscidea Schmidel","AZ-CA","Rare"
"perdita idonea","","Gutierrezia Lag.","AZ-CA-NV-UT","Uncommon"
"perdita ignota","Asteraceae","Asteraceae : Aphanostephus DC. , Baileya Harv. & A. Gray ex A. Gray , Chrysothamnus Nutt. , Croptilon Raf. , Grindelia Willd. , Gutierrezia Lag. , Heterotheca Cass. , Machaeranthera Nees , Solidago L. , Xanthisma DC.","AZ-CO-MT-NM-NV-UT-WY","Uncommon-Rare"
"perdita imbellis","Asteraceae","Asteraceae : Ericameria Nutt.","AZ-NM-UT","Rare"
"perdita indioensis","Asteraceae","Asteraceae : Isocoma Nutt.","CA","Rare"
"perdita innotata","","Prosopis L.","AZ-CA-NV","Rare"
"perdita interrupta","","Eschscholzia Cham.","AZ-CA","Rare"
"perdita interserta","Asteraceae","Asteraceae : Astereae: Baccharis L. , Ericameria Nutt. , Euthamia Nutt. ex Cass. , Gutierrezia Lag. , Isocoma Nutt. , Lepidospartum (A. Gray) A. Gray , Pluchea Cass. , Solidago L.","CA-OR","Uncommon-Rare"
"perdita irregularis","","Ericameria Nutt.","NM","Rare"
"perdita isocomae","Asteraceae","Asteraceae : Astereae: Baccharis L. , Isocoma Nutt.","CA","Uncommon-Rare"
"perdita jucunda","","Eriogonum Michx.","AZ-CA-NV-UT","Uncommon-Rare"
"perdita kiowi","","Mentzelia L.","CO-NM","Rare"
"perdita knowltoni","","Chrysothamnus Nutt.","UT","Uncommon-Rare"
"perdita koebelei","Loasaceae","Loasaceae : Eucnide Zucc. , Mentzelia L.","AZ-CA-NV","Uncommon-Rare"
"perdita labergei","","Euphorbia L.","AZ-UT","Rare"
"perdita labrata","","Eriogonum Michx.","CA","Rare"
"perdita larreae","","Larrea Cav.","AZ-CA-NM-NV-UT","Uncommon"
"perdita lasiogastra","","Pectis L.","CO-NM","Rare"
"perdita lateralis","","Larrea Cav.","AZ-CA-NV-UT","Uncommon"
"perdita laticincta","Asteraceae","Asteraceae : Helianthus L. , Solidago L.","CO-NM-UT-WY","Uncommon-Rare"
"perdita layiae","","Layia Hook. & Arn. ex DC.","CA","Rare"
"perdita lenis","Solanaceae","Solanaceae : Chamaesaracha (A. Gray) Benth. , Physalis L. , Solanum L.","AZ-CA-NM","Uncommon-Rare"
"perdita lepachidis","Asteraceae","Asteraceae : Ratibida Raf.","CO-NM-NV","Rare"
"perdita lepidosparti","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Lepidospartum (A. Gray) A. Gray , Tetradymia DC.","CA-ID-NV-UT","Uncommon-Rare"
"perdita leucostoma","","Calochortus Pursh","CA-NV-UT","Rare"
"perdita lingualis","Asteraceae","Asteraceae : Ericameria Nutt. , Helianthus L. , Verbesina L.","AZ-CA-CO-ID-NM-UT-WA-WY","Uncommon-Rare"
"perdita lucens","","Eriogonum Michx.","CA-NV","Rare"
"perdita luciae","Fabaceae","Fabaceae : Parkinsonia L. , Prosopis L. , Vachellia Wight & Arn.","AZ-CA-NM-NV-UT","Uncommon"
"perdita luculenta","Asteraceae","Asteraceae : Palafoxia Lag. , Pectis L.","AZ-CA-NV","Rare"
"perdita lunulata","","Mentzelia L.","AZ-NM","Rare"
"perdita luteola","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Chrysothamnus Nutt. , Ericameria Nutt. , Gutierrezia Lag. , Isocoma Nutt. , Xanthocephalum Willd.","AZ-CO-ID-NM-NV-WY","Uncommon-Rare"
"perdita lycii","","Lycium L.","AZ","Rare"
"perdita maculigera","","Salix L.","CO-NM","Rare"
"perdita maculosa","","Tiquilia Pers.","AZ-CA-NV","Rare"
"perdita malacothricis","Asteraceae","Asteraceae : Atrichoseris A. Gray , Baileya Harv. & A. Gray ex A. Gray , Chaenactis DC. , Malacothrix DC. , Rafinesquia Nutt. , Stephanomeria Nutt.","AZ-CA-NV-NM","Uncommon-Rare"
"perdita mandibularis","Asteraceae","Asteraceae : Bebbia (Benth.) Greene , Chaenactis DC. , Palafoxia Lag.","CA-NV","Rare"
"perdita meconis","","Arctomecon Torr. & Frém. , Argemone L.","AZ-CA-NV-UT","Rare"
"perdita media","Asteraceae","Asteraceae : Isocoma Nutt.","CA","Uncommon-Rare"
"perdita melanochlora","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Bebbia (Benth.) Greene , Encelia Adans. , Geraea Torr. & A. Gray , Viguiera Kunth","AZ-CA-NM-NV","Uncommon-Rare"
"perdita melanostoma","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Ericameria Nutt. , Gutierrezia Lag.","AZ-CO-ID-NM-UT-WY","Uncommon-Rare"
"perdita mentzeliae","","Mentzelia L.","AZ-CO-NM","Rare"
"perdita mentzeliarum","","Mentzelia L.","AZ-NM-NV","Rare"
"perdita mesillensis","Asteraceae","Asteraceae : Gutierrezia Lag. , Pectis L.","NM-UT","Uncommon-Rare"
"perdita mimula","Asteraceae","Asteraceae : Isocoma Nutt.","CA","Rare"
"perdita minima","Euphorbiaceae","Euphorbiaceae : Chamaesyce Gray , Euphorbia L.","AZ-CA-NM-NV","Uncommon"
"perdita mohavensis","Papaveraceae","Papaveraceae : Arctomecon Torr. & Frém. , Argemone L. , Eschscholzia Cham.","AZ-CA-NV-UT","Uncommon-Rare"
"perdita montereyensis","","Eschscholzia Cham.","CA","Uncommon"
"perdita mucronata","","Eschscholzia Cham.","CA","Rare"
"perdita multiflorae","","Mentzelia L.","UT","Rare"
"perdita munda","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt.","AZ-ID-UT","Uncommon-Rare"
"perdita munita","","Chamaesaracha (A. Gray) Benth.","AZ-NM","Uncommon-Rare"
"perdita namatophila","","Phacelia Juss.","CA","Rare"
"perdita nanula","","Euphorbia L.","AZ","Rare"
"perdita nasuta","","Eriogonum Michx.","AZ-CA-NM-NV-UT","Uncommon"
"perdita navarretiae","Polemoniaceae","Polemoniaceae : Allophyllum (Nutt.) A.D. Grant & V.E. Grant , Navarretia Ruiz & Pav.","CA","Rare"
"perdita nevadensis","","Eriogonum Michx.","CA-OR-WA","Uncommon-Rare"
"perdita nigridia","","Mentzelia L.","AZ-CA-NV","Uncommon-Rare"
"perdita nigriventris","","Euphorbia L.","AZ","Rare"
"perdita nigrocaerulea","","Salazaria Torr.","CA","Rare"
"perdita nitens","","Eschscholzia Cham.","CA","Rare"
"perdita nuda","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Erigeron L. , Grindelia Willd. , Gutierrezia Lag. , Solidago L.","AZ-CO-ID-NM-UT","Uncommon-Rare"
"perdita numerata","Fabaceae","Fabaceae : Prosopis L. , Vachellia Wight & Arn.","AZ-CA-NM","Uncommon-Rare"
"perdita nuttalliae","","Tiquilia Pers.","NV-OR-UT","Rare"
"perdita obscurella","Euphorbiaceae","Euphorbiaceae : Chamaesyce Gray , Euphorbia L.","AZ-NM","Uncommon-Rare"
"perdita octomaculata","Asteraceae","Asteraceae : Astereae: Baccharis L. , Euthamia Nutt. ex Cass. , Grindelia Willd. , Solidago L. , Symphyotrichum Nees","NM","Rare"
"perdita optiva","","Tiquilia Pers.","AZ-CA-NV","Rare"
"perdita oregonensis","Asteraceae","Asteraceae : Chaenactis DC. , Chrysothamnus Nutt. , Encelia Adans. , Ericameria Nutt. , Geraea Torr. & A. Gray , Grindelia Willd. , Gutierrezia Lag.","AZ-CA-ID-NM-NV-OR-UT-WA-WY","Rare"
"perdita pachygnatha","","Chrysothamnus Nutt.","CA","Rare"
"perdita pallida","","Oenothera L.","CA-NV","Rare"
"perdita pallidipes","","Prosopis L.","AZ-CA-NV","Rare"
"perdita pectoralis","","Eriogonum Michx.","AZ-CA","Rare"
"perdita peculiaris","","Chamaesaracha (A. Gray) Benth.","NM","Rare"
"perdita pelargoides","Polemoniaceae","Polemoniaceae : Eriastrum Wooton & Standl. , Navarretia Ruiz & Pav.","CA","Rare"
"perdita percincta","","Gutierrezia Lag.","AZ-UT","Rare"
"perdita perpallida","","Dalea L.","NM-UT","Rare"
"perdita perplexa","","Mentzelia L.","NM-UT","Uncommon-Rare"
"perdita perpulchra","Asteraceae","Asteraceae : Aphanostephus DC. , Baileya Harv. & A. Gray ex A. Gray , Dyssodia Cav. , Grindelia Willd. , Gutierrezia Lag. , Heterotheca Cass. , Isocoma Nutt. , Vanclevea Greene , Verbesina L. , Xanthocephalum Willd. , Xylothamia G.L. Nesom, Suh, D. Morgan & Simpson","AZ-CO-NM-UT","Uncommon-Rare"
"perdita phymatae","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Chrysothamnus Nutt. , Ericameria Nutt. , Gutierrezia Lag. , Helianthus L.","AZ-CO-ID-NM-NV-UT","Uncommon-Rare"
"perdita physalidis","","Physalis L.","AZ-CA","Rare"
"perdita pilonotata","","Tiquilia Pers.","NM","Rare"
"perdita plucheae","","Pluchea Cass.","AZ-CA-NV","Rare"
"perdita polita","Asteraceae","Asteraceae : Centromadia Greene","CA","Rare"
"perdita polycarpae","Euphorbiaceae","Euphorbiaceae : Chamaesyce Gray , Euphorbia L.","AZ-CA-NV","Rare"
"perdita prionopsidis","Asteraceae","Asteraceae : Boltonia L'Hér. , Grindelia Willd. , Heterotheca Cass.","CO","Rare"
"perdita prodigiosa","","Tiquilia Pers.","NV","Rare"
"perdita propinqua","Polemoniaceae","Polemoniaceae : Leptosiphon Benth. , Linanthus Benth.","CA","Rare"
"perdita prosopidis","","Prosopis L.","AZ-CA-NV","Rare"
"perdita proxima","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Isocoma Nutt.","CA","Uncommon-Rare"
"perdita punctifera","","Mentzelia L.","AZ-CA","Uncommon-Rare"
"perdita punctifrons","Asteraceae","Asteraceae : Lessingia Cham.","CA","Rare"
"perdita punctosignata","Fabaceae","Fabaceae : Parkinsonia L. , Prosopis L. , Vachellia Wight & Arn.","AZ-CA-NM-NV-UT","Common-Uncommon"
